iter	RMSE
0	15.8028817
1	15.31044044
2	14.85131632
3	14.41283602
4	14.04262589
5	13.65717162
6	13.28960165
7	12.97085687
8	12.66670873
9	12.37062024
10	12.08827921
11	11.82635501
12	11.59615556
13	11.37686559
14	11.1656018
15	10.97576763
16	10.80018717
17	10.62833974
18	10.47578936
19	10.33266509
20	10.19734062
21	10.07306878
22	9.961697868
23	9.867273649
24	9.772314553
25	9.682981596
26	9.590646326
27	9.51686768
28	9.440243769
29	9.368035333
30	9.3024579
31	9.246155219
32	9.190027667
33	9.141614809
34	9.095156852
35	9.05605415
36	9.013172908
37	8.973790074
38	8.936213372
39	8.901578768
40	8.868980986
41	8.8370517
42	8.808316166
43	8.780961356
44	8.755585066
45	8.732867094
46	8.710175035
47	8.694439605
48	8.674789668
49	8.655203454
50	8.635405829
51	8.620902424
52	8.606593599
53	8.596118731
54	8.583160618
55	8.569436165
56	8.556342542
57	8.54305846
58	8.531727176
59	8.520272597
60	8.510511773
61	8.498012549
62	8.488970381
63	8.481623876
64	8.470644126
65	8.461434008
66	8.45364245
67	8.445518396
68	8.439618455
69	8.431411529
70	8.423994477
71	8.415775883
72	8.409012624
73	8.399405763
74	8.392942664
75	8.385341266
76	8.377813839
77	8.371357772
78	8.366494207
79	8.362076639
80	8.355912777
81	8.349838194
82	8.345282709
83	8.341739757
84	8.335777955
85	8.33083733
86	8.327474819
87	8.320696587
88	8.316348038
89	8.3115481
90	8.308025153
91	8.30184449
92	8.296940391
93	8.292885187
94	8.287316464
95	8.283722689
96	8.279380654
97	8.273988991
98	8.269332529
99	8.265577895
100	8.261957405
101	8.257158653
102	8.253217872
103	8.249878282
104	8.24704418
105	8.243681808
106	8.240621453
107	8.236315237
108	8.232891134
109	8.230554846
110	8.226714591
111	8.222622867
112	8.220175185
113	8.215144097
114	8.210864451
115	8.207595267
116	8.20437527
117	8.200547213
118	8.197398614
119	8.195178504
120	8.193353153
121	8.191086922
122	8.18816775
123	8.185953947
124	8.183279611
125	8.180990203
126	8.178379455
127	8.176832798
128	8.174270641
129	8.171576084
130	8.169120369
131	8.166455124
132	8.163413066
133	8.160724904
134	8.158718289
135	8.155478847
136	8.153068393
137	8.15067049
138	8.149015114
139	8.145630651
140	8.143547058
141	8.140592649
142	8.138194072
143	8.135339014
144	8.131881508
145	8.130022621
146	8.127742814
147	8.125588779
148	8.123460271
149	8.121475942
150	8.118600702
151	8.117185914
152	8.114834628
153	8.112125413
154	8.110563943
155	8.109096229
156	8.106907558
157	8.105004447
158	8.102017507
159	8.099753301
160	8.097760564
161	8.096144886
162	8.093820719
163	8.09188035
164	8.089014158
165	8.086976546
166	8.084618616
167	8.082483987
168	8.080819812
169	8.079248999
170	8.077438728
171	8.074757527
172	8.072195256
173	8.070110263
174	8.067941543
175	8.066481757
176	8.064605814
177	8.063084895
178	8.061353896
179	8.059034786
180	8.057336062
181	8.055952963
182	8.054119223
183	8.051962064
184	8.050352986
185	8.049012877
186	8.047150006
187	8.044566748
188	8.042565456
189	8.040249745
190	8.038695431
191	8.037129668
192	8.035880827
193	8.03470458
194	8.032527943
195	8.030530335
196	8.028961521
197	8.027371877
198	8.025961305
199	8.023423484
200	8.021977314
201	8.019595678
202	8.018261386
203	8.016375755
204	8.014167439
205	8.012875573
206	8.011344544
207	8.009305056
208	8.007678305
