iter	Passed	Remaining
0	65	52177
1	79	31528
2	87	23342
3	97	19413
4	103	16446
5	115	15302
6	128	14509
7	140	13867
8	154	13603
9	169	13374
10	185	13336
11	198	13032
12	210	12767
13	220	12360
14	231	12131
15	240	11795
16	253	11669
17	268	11662
18	281	11569
19	295	11513
20	304	11297
21	317	11211
22	329	11145
23	337	10897
24	349	10844
25	362	10795
26	371	10647
27	388	10718
28	401	10680
29	416	10682
30	428	10633
31	445	10684
32	454	10570
33	469	10576
34	479	10477
35	491	10434
36	510	10525
37	520	10428
38	532	10383
39	545	10357
40	554	10258
41	563	10167
42	572	10083
43	582	10014
44	598	10044
45	611	10021
46	620	9935
47	631	9892
48	640	9821
49	648	9734
50	663	9746
51	676	9725
52	691	9743
53	700	9672
54	709	9609
55	717	9526
56	727	9488
57	737	9430
58	746	9374
59	764	9424
60	782	9481
61	795	9468
62	812	9503
63	825	9489
64	838	9482
65	851	9466
66	865	9469
67	881	9493
68	899	9534
69	914	9536
70	926	9513
71	941	9517
72	954	9505
73	968	9506
74	977	9451
75	990	9434
76	1003	9424
77	1016	9404
78	1026	9365
79	1039	9353
80	1048	9303
81	1059	9277
82	1069	9242
83	1078	9192
84	1088	9159
85	1097	9113
86	1109	9093
87	1123	9088
88	1135	9074
89	1149	9067
90	1160	9039
91	1173	9031
92	1189	9041
93	1198	8998
94	1208	8967
95	1220	8951
96	1233	8943
97	1247	8938
98	1257	8902
99	1269	8888
100	1281	8866
101	1290	8829
102	1301	8806
103	1309	8766
104	1319	8731
105	1332	8720
106	1341	8689
107	1353	8672
108	1369	8684
109	1383	8675
110	1396	8670
111	1406	8639
112	1418	8626
113	1436	8641
114	1455	8670
115	1470	8668
116	1481	8648
117	1494	8638
118	1509	8637
119	1525	8646
120	1540	8646
121	1556	8649
122	1574	8666
123	1586	8651
124	1601	8645
125	1615	8640
126	1628	8628
127	1643	8627
128	1658	8627
129	1678	8648
130	1689	8626
131	1699	8598
132	1720	8627
133	1733	8613
134	1748	8614
135	1769	8640
136	1785	8639
137	1799	8631
138	1813	8622
139	1828	8621
140	1842	8613
141	1859	8614
142	1869	8587
143	1879	8560
144	1891	8544
145	1903	8528
146	1919	8528
147	1930	8503
148	1945	8498
149	1958	8485
150	1974	8484
151	1987	8472
152	2000	8458
153	2012	8442
154	2026	8434
155	2040	8424
156	2056	8420
157	2072	8420
158	2086	8410
159	2100	8401
160	2120	8414
161	2129	8385
162	2142	8372
163	2158	8368
164	2173	8365
165	2197	8391
166	2211	8382
167	2228	8385
168	2251	8405
169	2265	8396
170	2281	8390
171	2297	8388
172	2314	8387
173	2331	8387
174	2347	8382
175	2362	8376
176	2379	8376
177	2393	8365
178	2408	8354
179	2423	8348
180	2435	8328
181	2447	8311
